time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2023-10-18 03:32:41.594 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,227283214336,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1697599961062, , , , ,3145728,1218, , , ,4,4,14,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,24117248,3, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:33:41.613 UTC, ,125,3169005,1416,22928,224, ,5, ,9, , , , , , , , , ,5,5, , , , ,1,7, ,3, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1792,227281661952,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1792, ,1697599961062, , , , ,3145728,1765, , , ,5,4,19,4,2,4, , ,3,5, , , , , , , , , , , ,4096,2,526,4, , , , , , , , ,27262976,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1, , , , , , , , 
2023-10-18 03:34:41.622 UTC, ,125,3169005,1416,22928,224, ,5, , , , , , , , , , , ,5,5, , , , ,1,7, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1792,227278499840,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1792, ,1697599961062, , , , ,3145728,1765, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27262976,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:35:41.636 UTC, ,125,3170285,1544,24096,336, ,5, ,7, , , , , , , , , ,5,5, , , , ,1,7, ,3, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1792,227277955072,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1792, ,1697599961062, , , , ,3145728,1946, , , ,6,2,16,2, ,2, , ,3,3, , , , , , , , , , , , , ,181,2, , , , , , , , ,29360128,1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , 
2023-10-18 03:36:41.652 UTC, ,589,3173877,1648,27224,336, ,6, ,20, , , , , , , , , ,6,6, , , , ,2,8, ,10, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,2123,227277946880,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2123, ,1697599961062, , , , ,3145728,2538, , , ,7,7,47,7, ,7, , ,3,11, , , , , , , , , , , , , ,592,8, , , , , , , , ,30408704,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,4,1, ,1,1, , , , , , , 
2023-10-18 03:36:47.083 UTC, ,589,3173541,1648,27224, , ,6, ,2, , , , , , , , , ,6,6, , , , ,2,8, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,2565,227275829248,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2565, ,1697599961062, , , , ,3145728,2538, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,30408704,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , 
2023-10-18 03:41:45.408 UTC, ,125,3163269,1648,17416, , ,3, ,34,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,12, , , , , , , , , , , , , ,3956,2, ,2618, , , , ,4001,227286077440,-1,-1, , , , , ,1,64, , , , , , , , , , , , , , , , , , , , , , , , , ,4001, ,1697600504865, , , , ,3145728,3956, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,101016,31, , , , , , , , , , ,25165824,2, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:41:57.371 UTC, ,589,3166661,1416,20344, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,2,5, ,9,2, , , , , , , , , , , , , ,3956,2, ,2618, , , , ,4001,227286077440,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4001, ,1697600504865, , , , ,3145728,4189, , ,4,6,2,14,2,3,2, , ,3,3, , , ,4,1, , , , , , ,10320,7,227,3, , , , , , , , ,27262976,1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , 
2023-10-18 03:48:29.366 UTC, ,125,3162045,1416,16192, , ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,25,12, , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5206,227288539136,27,27, , , , , ,1,80, , , , , , , , , , , , , , , , , , , , , , , , , ,5206, ,1697600908817, , , , ,3145728,5161, , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,103103,32, , , , , , , , , , ,25165824,1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:49:29.387 UTC, ,125,3169677,1648,23600,224, ,5, ,9,1,0.11, , , , , , , ,5,5, , , ,2,1,7, ,5,1, , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227286941696,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , ,3,6,3,20,3,3,3, , ,3,4, , , ,3,1, , , , , , ,10279,6,420,3, , , , , , , , ,28311552,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1, , , , , , , , 
